|ReviewDate|ReviewRating|ReviewText|ReviewTitle
39|on april 30, 2016|2.0 out of 5 stars|i have used turbotax for 25 years and been very pleased with it until the last two years. their decision last year to seriously reduce the program's scope and thereby significantly increase the price  caused me to seek other alternatives. i thought they saw the error of their ways and corrected it in this year's version. i discovered i was wrong when i filed my state income tax and was required to pay an additional fee for filing electronically by turbotax. they seem to be determined to charge excessively for their product. next year we will carefully shop for a product that is not excessively over priced!|... have used turbotax for 25 years and been very pleased with it until the last two years
40|on april 30, 2016|5.0 out of 5 stars|always use this, won't go any where else.|always use this
41|on april 30, 2016|5.0 out of 5 stars|good fast delivery no problems|five stars
42|on april 30, 2016|3.0 out of 5 stars|this review is about intuit's customer service. i called and ask which version (mac download) i would need to do a state by state comparison for retirement in regards to state income tax. i specifically ask if the software would be capable of performing this task with each state, it's laws, tax rates, etc. i was told to purchase the basic version and that when it updated, it would bring all state income tax laws current and allow me to compare. well, what do you know, it cost $44 dollars per state. maybe i'll get some unrealized payback from this review and it will be subtracted from their bottom line. seems now days one cannot double check businesses enough. update: i called and explained the situation to turbotax and they initiated a refund. the 3 stars is meant to represent a neutral review.|they fixed thier own blunder.
43|on april 30, 2016|5.0 out of 5 stars|do my taxes every year.|five stars
44|on april 30, 2016|5.0 out of 5 stars|while this is my go to software for tax preparation, my taxes are not that complicated and it's becoming more and more difficult to justify the software cost.|go to software for taxes, a bit pricey  $$$$
45|on april 30, 2016|5.0 out of 5 stars|worked just fine|five stars
46|on april 30, 2016|5.0 out of 5 stars|can't wait for next year's turbo tax|easy tax
47|on april 30, 2016|5.0 out of 5 stars|works like all the other turbotax programs simple and quick|done in less than 1 hour
48|on april 30, 2016|5.0 out of 5 stars|no problems at all. very easy to use|improved
49|on april 29, 2016|4.0 out of 5 stars|turbo tax software is very easy for anyone to use.|fast & easy
50|on april 29, 2016|5.0 out of 5 stars|worked great for my taxes!|five stars
51|on april 29, 2016|5.0 out of 5 stars|worked well|turbo tax experience
52|on april 29, 2016|5.0 out of 5 stars|as good as ever!! this is my 15th year of using these turbotax!  quick delivery -- will do it again!!|my tax buddy
53|on april 29, 2016|5.0 out of 5 stars|i have used it for the past 20+ years and continue to depend on it.|t tax is the best
54|on april 29, 2016|5.0 out of 5 stars|it enabled us to get a hefty refund.  we were surprised how easy it was to use|we were surprised how easy it was to
55|on april 29, 2016|5.0 out of 5 stars|great tax software|love turbotax
56|on april 28, 2016|5.0 out of 5 stars|ease of use is superior to other tax software. the update emails are wonderful. once you file electronicly, just sit back and turbo tax handles the rest. i believe using turbo tax increases your refund and decreases your refund wait time. i have used turbo tax for over 15 years and never have had a problem.|turbo tax is the best tax preparation software
57|on april 28, 2016|5.0 out of 5 stars|helps you decide what you can & cannot deduct. if you aren't sure, you can go to their website,& see if the answer is there|turbo tax
58|on april 28, 2016|5.0 out of 5 stars|get it before it hits the stores|five stars
59|on april 28, 2016|5.0 out of 5 stars|worked as expected and always with excellent service from intuit...|excellent for the poor folks like me...
60|on april 28, 2016|3.0 out of 5 stars|i have been using turbo tax for the last 15 years and aside for some quirky stuff, and the fact that you have to pay extra to file your state tax on line, still a very good option.  once a year!|recommend turbo tax
61|on april 28, 2016|4.0 out of 5 stars|this works great, have been using turbo tax for years, but who can get excited about taxes|four stars
62|on april 28, 2016|5.0 out of 5 stars|have used turbo-tax for decades. wouldn't think of doing taxes any other way.|five stars
63|on april 28, 2016|5.0 out of 5 stars|i use it every year.  as always, no problems.|great product!
64|on april 28, 2016|5.0 out of 5 stars|worked great as usual|tax program
65|on april 28, 2016|5.0 out of 5 stars|everything worked fine|five stars
66|on april 28, 2016|3.0 out of 5 stars|i downloaded for 2016, but the menus were difficult to use, imho, i have a small hobby/ home business and it was not easy to use.  after an hour of clicking around, i gave up, went to the h&r site and used h&r block's and i was done in 30 minutes.  i regret paying for this product.  i'll see if a friend can use it from my pc (windows 10).  if he likes it, i'll up the stars.|i have a small hobby/ home business and it was not easy to use
67|on april 28, 2016|5.0 out of 5 stars|great product|five stars
68|on april 27, 2016|1.0 out of 5 stars|purposeful lack of information/disinformation and intrusive upselling/cross-selling make this a poor investment.|misleading.
69|on april 27, 2016|2.0 out of 5 stars|in general, the software performed well. for some reason, the program performed a complete update and reinstallation every time i opened the program.|in general, the software performed well. for some ...
70|on april 27, 2016|5.0 out of 5 stars|so fast and so easy.|five stars
71|on april 27, 2016|5.0 out of 5 stars|great product!|five stars
72|on april 27, 2016|3.0 out of 5 stars|not one of the easiest to use.  i've used other tax prep software in the past and wanted to try turbotax again.  the interview questions were not clear and required some searching to figure out what they were looking for.  perhaps i know too much about taxes since i answer tax prep questions for a living.  i had a hard time figuring out where to enter the information i knew had to be entered.  it was much better than doing taxes manually but took longer than i usually take do to the uncertainty of what was being asked.  perhaps it would have been a different story if i had not chosen the i know what i need to enter option. i did not go back and start over to choose that option to see if it would have been any clearer.|not the easiest to use.
73|on april 27, 2016|1.0 out of 5 stars|"turbotax made it very clear to me that the software purchased from amazon was quirky and had issues. they reloaded the same version for me.
            
            do they just want to sell it direct or was it really defective? they also don't tell you it doesn't include state filing on line or more than one state. you have to pay turbotax extra- twice what you paid for the software!
            
            amazon should make that clear to buyers- if they ever knew. i am not blaming amazon.  turbotax shouldn't sell a product that is defective and should have better transparency about the real filing costs."|turbotax really wants you to buy from them
74|on april 26, 2016|4.0 out of 5 stars|excellent value ... been using it year after year and will continue using it for the foreseeable future.|#1 tax software
75|on april 26, 2016|5.0 out of 5 stars|this product is pure genius.|you cannot go wrong with this.
76|on april 26, 2016|4.0 out of 5 stars|easy to use, great step by step directions.  only thing i don't like is that if you want to e-file you have to set up direct deposit. other then that i love turbo tax and how thorough it is.|easy to use
77|on april 26, 2016|1.0 out of 5 stars|i have used turbotax for years but will not be using them again. when i went to do my taxes this year and after doing all of my federal return, the state would not load. i contacted turbotax customer service, and they couldn't get the state to load either. so they said i had to start all over, do my taxes online, enter everything manually and would have to pay an additional $95. unfortunately, i purchased my turbotax from amazon early, and by the time i did my taxes, it was beyond the return time so i was completely out of the money i spent on this package. i bought h&r block instead. federal and state downloaded onto my computer correctly in a matter of minutes.  it interfaced with my previous return and uploaded most of my information for my returns. they were done very quickly, and it only cost $55 , not the $95 that turbotax wanted to charge me to do my taxes online.|will not be buying turbotax again
78|on april 26, 2016|5.0 out of 5 stars|good!|five stars
79|on april 26, 2016|5.0 out of 5 stars|doing it for years, simple and efficient tax filing. simple cause my dad taught me to do it by hand when i was 18 and have filed myself since. easy p'easy.|easy p'easy.
80|on april 26, 2016|5.0 out of 5 stars|works perfect as always! been using turbo tax for over 10 years now and love it!|best way to do your taxes!
81|on april 26, 2016|5.0 out of 5 stars|got my taxes done quickly!|five stars
82|on april 26, 2016|4.0 out of 5 stars|i use turbotax each year and like the ease of ordering on amazon.  it's quick and gets the job done efficiently.|it's my go-to tax program.
83|on april 26, 2016|5.0 out of 5 stars|this leads you through the filing process making it very easy. i saved $200 by using trubo tax and doing it myself. and even was made aware of deductions that i never thought about before!|great product
84|on april 26, 2016|3.0 out of 5 stars|had to down load a lot of updates|three stars
85|on april 26, 2016|5.0 out of 5 stars|thank you for an excellent product and great transaction.|five stars
86|on april 26, 2016|5.0 out of 5 stars|made taxes a breeze.  will use again next year.|five stars
87|on april 26, 2016|3.0 out of 5 stars|"for people filing as residents in a foreign country with both us and foreign income, this has the necessary forms but does not take into account the agreement between the us and certain countries regarding taxation of social security income, that it is taxable only in the country of residence.  i learned this (and how to enter the information) from the very helpful turbotax answerxchange.  (from irs publication 915: u.s. citizens residing abroad. u.s. citizens who are residents of the following countries are exempt from u.s. tax on their benefits. canada, egypt, germany, ireland, israel, italy (you must also be a citizen of italy for the ex-emption to apply), romania, united kingdom).
            
            another problem with this turbotax program is that it does not accept a foreign address when you try to pay to e-file a us state form.
            
            in the end the only advantage to the program was the easy filling in and printing of forms and being able to e-file the federal part, but i'm glad i bought it this year as i might not otherwise have searched the answerxchange and so quickly found the information.  last year i filed myself and was puzzled when the irs wrote that i'd made a mistake with the social security taxation and sent a refund, and i thought that buying this program would save me having to figure it out and would correct any related mistake."|for overseas filers not so advantageous
88|on april 26, 2016|4.0 out of 5 stars|worked as advertised|four stars
89|on april 25, 2016|3.0 out of 5 stars|turbo tax's shenanigans with removing key features from certain price points for tax year 2014 left a bad taste.  i still use turbo tax as i'm used to it but do consider going to another product.|... certain price points for tax year 2014 left a bad taste. i still use turbo tax as i'm ...
90|on april 25, 2016|5.0 out of 5 stars|easy to use.|five stars
91|on april 25, 2016|5.0 out of 5 stars|i use it every year.|five stars
92|on april 25, 2016|5.0 out of 5 stars|use it every year.|five stars
93|on april 25, 2016|5.0 out of 5 stars|loaded with no problems, easy to use...|a season made less taxing...
94|on april 25, 2016|5.0 out of 5 stars|item worked great although the security seal was broken when received. therefore, i couldn't confirm if the disc was new or used.|item worked great although the security seal was broken when received
95|on april 25, 2016|5.0 out of 5 stars|gets the job done|five stars
96|on april 25, 2016|1.0 out of 5 stars|"better customer service at irs. software is incomplete and buggy, but that's the customers problem, not intuit, or at least that what they told me. ""we can't figure out why it doesn't work, but you've already paid so it's not our problem."" this after a full day on hold with ""experts""."|irs staff and website has better information and advice.
97|on april 25, 2016|5.0 out of 5 stars|done every year since 1978.  has never missed a beat and have always except one time gotten me a refund i so do deserve.  if you have a medium to big business you might get a cpa but compare that work with tt and you might be surprised what you can do and save.  they are probably using the same thing.|it really works
98|on april 25, 2016|2.0 out of 5 stars|"obviously got an incomplete copy (in march) as there were many forms that were missing and only got the notice to update on the internet.
            
            well here is the story - i got the version on a cd because i don't have internet access at my house. now, had to do my taxes at work, not very popular with the boss as a result. so 4 days before tax due date, on the internet (at work) and it still says that the forms are pending and will ""be ready soon"". after the 4th attempt to down load the correct forms it finally worked.  very disappointed. will look into some one else's product next year."|very disappointed. will look into some one else's product next ...
99|on april 25, 2016|5.0 out of 5 stars|have been using tt for five years now never an issue and always maximizes my refund . average process time to do an itemized return :30 minutes with truly professional results and the offer of audit representation if needed . can't beat it for less than 50 bucks .|foo for you block !
100|on april 25, 2016|1.0 out of 5 stars|"i wish to have my money back. it would not work for me & three calls to intuit & still no help. they promised to call back & never did!!!
            
            rev richard n davis sr"|bad, bad buy!
101|on april 25, 2016|4.0 out of 5 stars|what can i say, it's still painful doing taxes. turbo tax makes it a little less painful.|a less painful way to do your taxes
102|on april 25, 2016|4.0 out of 5 stars|great product.|four stars
103|on april 25, 2016|5.0 out of 5 stars|"i have used tips product for ten yrs.
            
            i have never been allowed to end proces with out revewing my work. i appreciate the effort to put me at risk of a audit."|i have used tips product for ten yrs. i ...
104|on april 25, 2016|4.0 out of 5 stars|i'd love it, but who likes doing their taxes?  last year i tried using h&r block, but for the extra $250.00 over what turbotax costs, it was stupid! hopefully, one day there will be a flat tax, and all this ridiculous paperwork will become ancient history!|turbotax is a bargain!
105|on april 25, 2016|5.0 out of 5 stars|every year.|five stars
106|on april 24, 2016|5.0 out of 5 stars|one of the best software programs on the market.|a very good tax program, it covers everything.
107|on april 24, 2016|4.0 out of 5 stars|good product and good price|four stars
108|on april 24, 2016|4.0 out of 5 stars|it did the job as this product always does year after year.|four stars
109|on april 24, 2016|3.0 out of 5 stars|a necessary evil. we die and we pay taxes. this makes the process a bit easier. we still think all the government officials should have to do their own taxes by hand.|at least it's automated...sorta
110|on april 24, 2016|4.0 out of 5 stars|simple and easiest way to complete your taxes if your taxes is not complicated. i have been using it for the last ten years without any problems|simple
111|on april 24, 2016|5.0 out of 5 stars|very easy to use and install|five stars
112|on april 23, 2016|5.0 out of 5 stars|using turbotax for the past several years has saved me a lot of time in preparing my tax returns, and has undoubtedly maximized my return. the deluxe version is especially helpful if you have non-monetary charitable donations to companies like goodwill.|turbotax rules
113|on april 23, 2016|5.0 out of 5 stars|been using turbo tax for about 20 years (lost track).  it works like it's suppose to.  last year was a problem but intuit fixed the problem they created.|good working tax program
114|on april 23, 2016|5.0 out of 5 stars|great product...use every year|five stars
115|on april 23, 2016|1.0 out of 5 stars|i would return it if i could.|one star
116|on april 23, 2016|4.0 out of 5 stars|great delivery and taxes are completed.|four stars
117|on april 23, 2016|5.0 out of 5 stars|alway easy to use,|five stars
118|on april 23, 2016|5.0 out of 5 stars|it does what it does an a manner that's easy for me.  i feel like i got my taxes done by a cpa|lovin it
119|on april 23, 2016|5.0 out of 5 stars|solid product.|five stars
120|on april 23, 2016|5.0 out of 5 stars|hate doing taxes but turbo tax helps to simplify the process.|good product
121|on april 23, 2016|1.0 out of 5 stars|the worst turbo tax ever, did not print all forms and missed some forms from the transfer but managed to get what i needed from the program.  not amazons fault  its intuit not testing there product before putting it out there.|terrible tax
122|on april 23, 2016|5.0 out of 5 stars|works well for my needs|done correctly in just under 2 hours
123|on april 22, 2016|1.0 out of 5 stars|i would normally give them a 4-5 star rating. first of all state filings are supposed to be $19.99. when submitting they jacked up both states to $24.99 even though the program stated $19.99 at the start of efiling. also since i filed after 4/18 which is not a problem if you don't owe anyone any money (fyi penalties and interest are based on owed money so if you don't owe money then there is no reason to file an extension), there was an update with a serious flaw in the program. anyone who filed before 4/20 probably wouldn't check there taxes. apparently one of the forms in the program was putting some sort of college scholarships or something into a return as taxable income when it shouldn't be. if you have college financial info in your return you better check the possible impact on this.|charge $5 more than advertised for efile of state returns, update on 4/20 has major impact on possible college scholarship info
124|on april 22, 2016|5.0 out of 5 stars|good price on this software. worked very well for our needs.|great for our needs
125|on april 22, 2016|4.0 out of 5 stars|great price and quickly shipped.|four stars
126|on april 22, 2016|5.0 out of 5 stars|helpful|five stars
127|on april 22, 2016|5.0 out of 5 stars|delivered as promised|five stars
128|on april 22, 2016|3.0 out of 5 stars|more expensive than it seems. i have used it for may years.  while it is ok i suspect that a good cpa/tax preparer may be worth the extra cost.|okay
129|on april 21, 2016|3.0 out of 5 stars|turbo tax does the job but i ran into a few snags.  sometimes, manuvering around takes more effort than it should.  this one gives you free e-file for your federal tax, but charges you an additional $20. or $25. to e-file file your state tax.|suposedly, the best tax software available
130|on april 21, 2016|4.0 out of 5 stars|"i've used turbotax for years, always reliable. this year they put features back in that you had to buy the ""premier"" version to get last year (i bought the ""deluxe and used the feds schedule e) that year.
            

            i often stop in the middle of preparing taxes to do something else.  this year turbotax kept wanting to start at the beginning again, which shouldn't happen.
            

            their ""print"" set up requires way too much paper, so i print each completed form page separately (two-sided). i print the signature page, we sign and date it, and i scan it, then print the front page on the back of the original signature page. the feds get their original signature, the state returns we file get their copy with an original front page printed on a copy of the scanned signature page, and we kept one for our files."|turbotax deluxe 2015 federal + state taxes + fed efile tax preparation software - pc/mac disc
131|on april 21, 2016|4.0 out of 5 stars|same as always!|four stars
132|on april 21, 2016|5.0 out of 5 stars|if i knew it was this easy i would have did my taxes this way a long time ago|five stars
133|on april 21, 2016|5.0 out of 5 stars|thank god for turbotax. i can't possibly know the ins and outs of the changing tax code.|the changing and complicated tax code
134|on april 21, 2016|5.0 out of 5 stars|excellent software!|five stars
135|on april 21, 2016|3.0 out of 5 stars|the tax return was fine but they too vague about what was covered.  they keep trying to make you upgrade to a higher priced version.|the tax return was fine but they too vague about what was covered
136|on april 21, 2016|5.0 out of 5 stars|excellent product. i've used it for 6 years.|five stars
137|on april 21, 2016|2.0 out of 5 stars|e-file would not work and received no help from turbotax|two stars
138|on april 21, 2016|5.0 out of 5 stars|gets the job done.|every year
139|on april 21, 2016|5.0 out of 5 stars|okay|five stars
140|on april 20, 2016|5.0 out of 5 stars|easy peazy! i use it every year and its a piece of cake. i did 5 tax returns with it - kids and i. all 5 done and filed in less than a day.|cant live without it
141|on april 20, 2016|2.0 out of 5 stars|it is a disappointing product. i've used turbotax for 15+ years, this year was the least impressive of all.|not pleased.
142|on april 20, 2016|1.0 out of 5 stars|waste of money.  it wouldn't upload to my computer so i had to repurchase it online.|ripoff
143|on april 20, 2016|5.0 out of 5 stars|great price and first time using the program. even itemized deductions and finished within an hour. very straightforward and user friendly.  will get again next tax season.|helps with a necessary evil
144|on april 20, 2016|5.0 out of 5 stars|easy to use.  if you get the dvd you have it on your pc, no more fees or little gotchas.|easy and quick
145|on april 20, 2016|4.0 out of 5 stars|it's tax software.  it does the trick.  i live in ny state so the laws here force these guys to give me free federal & state e-returns but check with your state laws or turbo tax before buying.|it's tax software. it does the trick. i ...
146|on april 19, 2016|5.0 out of 5 stars|great software as always, wouldn't buy any other brand.|five stars
147|on april 19, 2016|5.0 out of 5 stars|worked as described.  i've used tt for years and have always been satisfied.|it works.
148|on april 19, 2016|5.0 out of 5 stars|very fast and easy way to do your taxes, especially if used in subsequent years to pull in the data from the previous return. i like the multiple year comparison so i can track the consistency of the various parameters that affect my tax bill. i love not having to worry about math errors.|fast and easy
149|on april 19, 2016|5.0 out of 5 stars|worked well and was shipped very promptly.|turbox tax deluxe works
150|on april 19, 2016|4.0 out of 5 stars|makes doing your taxes enjoyable ( if expecting a refund)|worth the money
151|on april 19, 2016|4.0 out of 5 stars|just done my taxes, i have used tt for about 10 years and except for last year when they messed up, all has been well.|just done my taxes, i have used tt for ...
152|on april 19, 2016|5.0 out of 5 stars|best tax preparation software.  saved me a bundle.|best tax preparation software.  saved me a bundle.
153|on april 19, 2016|5.0 out of 5 stars|great|five stars
154|on april 19, 2016|5.0 out of 5 stars|thx|five stars
155|on april 19, 2016|1.0 out of 5 stars|"i couldn't recommend a product less.
            
            if you're filing from overseas in particular i'd really advise you to stay away from this. there are numerous issues filing from overseas that will cause problems. one immediate problem is the difficulty in getting someone on the line. their phone menu system is not too friendly for overseas numbers.
            
            another issue was the lack of transparency in the pricing. it was only at the end of the process that they tell you you have to pay an extra fee for them processing a credit card payment. mine rang up at almost $90 more just for processing it - that's in addition to the cost of the software package. what's worse is after multiple attempts of nearly completing the process i was informed that the state where i needed to file didn't accept overseas payments/addresses. in short, i've wasted a lot time and i'm now late filing.
            
            turbo tax could be a whole lot more transparent about the packages and how they're going to add on to your bill."|hidden charges and filing problems
156|on april 19, 2016|5.0 out of 5 stars|great, as usual.|five stars
157|on april 18, 2016|1.0 out of 5 stars|intuit gave me the $4,000 credit for making less than the amount listed on 1040, then it subtracted it, showing me owing over $4,000 in taxes.  i have taken this credit every year since it was implemented and never had it questioned.  so i deleted the completed 1040, started over and this time intuit showed i would get a $58 refund.  i did my taxes manually and will be receiving a $348 refund!  i think i should be getting a refund from intuit,|intuit gave me the $4, 000 credit for making ...
158|on april 18, 2016|3.0 out of 5 stars|they keep changing this product each year, not always for the better|if you do your own tax
159|on april 18, 2016|1.0 out of 5 stars|this software is junk.  i had used it on prior years except 2014, now i know why.  too many bugs, this time it won't install.  support is non existent, 2 hours on hold.  not wasting my time anymore with this software.  h&r i'm yours from now on.  intuit, you have stolen your last $45 from me!|sucks!
160|on april 18, 2016|1.0 out of 5 stars|completed my federal return and began md state return. big problem!  the turbo tax md state version does not account for married couples  filers to take the military service allowance deduction of $1000 each for two people since both me and my spouse are veterans..  tt does not allow you to fill in the worksheet for two.  i had to go to md state comptroller page to manually input my state taxes and file directly with them.  this is the last year, i'll be using turbo tax since if i didn't do a comparison with my last years return  ( i used hr block last year, because turbo tax switched product feature with the deluxe and premier) and notice the error this would have cost me $500 in additional taxes..|the turbo tax md state version does not account for married couples filers to take the military service allowance deduction
161|on april 18, 2016|5.0 out of 5 stars|works great. period|works great
162|on april 18, 2016|1.0 out of 5 stars|my fault, i guess.  i bought this disc, trusting that it would install correctly and prepare my forms on the due date. when i only got repeated error messages on the install, i had to go to their website and prepare online - and pay for the software again, by the way. i've been preparing my federal return with turbotax since it was macintax. will never do it again - hr block, here i come.|just go somewhere else
163|on april 18, 2016|4.0 out of 5 stars|work every year and give me best result.|four stars
164|on april 17, 2016|5.0 out of 5 stars|simple to use and follow. they have the best product on the market. there are more free resources than expected with each year. people are available for help at all hours of the day or night!|great product, east to use, great customer service
165|on april 17, 2016|2.0 out of 5 stars|"it is the same product i've been using, more or less, for the last decade. it is good solid software for preparing returns. but i've got to agree with the others here. the hidden ""fees"" that keep popping up through the process need to be laid out for the consumer prior to purchase. this particular package is a ""+ state taxes"" but doesn't include the $24.99 (minnesota) filing fee. nor does it include the $34.99 fee that you must pay in order to deduct your filing fee directly from your refund. i could go on. the bottom line is that we, the consumers, don't need everything to be 'free' - we just need to know what we're signing up to pay for before we're fully committed. this year's turbotax falls well short of that clear expectation."|it is good solid software for preparing returns
166|on april 17, 2016|5.0 out of 5 stars|good layout and questiom/answer mode.|five stars
167|on april 17, 2016|5.0 out of 5 stars|"i haven't had any issues with this. it did take forever to use the first time -- had a 9
            
            minute update. if to update my own computer. once it finally worked it all went smoothly."|works as stated!
168|on april 16, 2016|5.0 out of 5 stars|came fast, but over night how it said in description. otherwise a great product to help on taxes.|otherwise a great product to help on taxes
169|on april 16, 2016|1.0 out of 5 stars|what they don't tell you is that after you complete your state tax filing, and choose to submit it electronically, they ask for your credit card so they can charge you another $24.99 for filing electronically. pretty sleazy approach. won't be using them next year.|hidden add on fee
170|on april 16, 2016|3.0 out of 5 stars|"maybe i missed it, but i specifically bought this version from amazon because i thought it was federal + 1 state.  i live in texas and the boxed copy at costco is different if you study the box; doesn't include state at all.  that may make sense for most people but i need one state for my kids return.  in the past the state e-file was included with deluxe, now the preparation is included but you have to pay additional $24.99 + tax to e-file a state return.
            

            the software really does make doing your taxes much easier, especially when you import info from prior returns.  if it were as simple as that i'd give five stars.  i deducted two because every year you have to figure out how not to be duped by intuit's complex and obfuscated pricing."|e-file for state is $24.99 extra
171|on april 16, 2016|4.0 out of 5 stars|i've used turbotax for about 20 years. each year they add more advertising for related services. good product, but there are a few things it can't do which negates filing electronically.|tax time
172|on april 16, 2016|1.0 out of 5 stars|purchased to do my taxes this year, then turbotax gave it away free online. never again|why buy it when they give you a free version online?
173|on april 16, 2016|1.0 out of 5 stars|this software assumes that you are connected to the internet 24/7.  i'm not so i buy the cd version and go to a public network to install the updates.  it awkwardly installs and updates the federal software after i skip the different windows wanting me to enter personal information.  i have been unable to figure out whether i have the state software installed or not - it won't ask me to select which state and install so i assume that i don't.  it keeps trying to sell me state software that i've already paid for when i purchased the cd (federal + state + federal e-file).  i don't want to e-file my state, i just want to use the software i paid for to fill out the necessary forms.  the assumption that everyone is comfortable filling out forms with personal financial information while on-line is flawed.  there should be an easy installation process where you pop the cd in, indicate which state you want, the cd installs the base software for both federal and the selected state, and then goes out to the network to install all updates for federal and state.  this should be doable before you have to create a return.  this is painful.|turbotax not friendly for off-line use
174|on april 16, 2016|5.0 out of 5 stars|i have used turbo tax for many years and it is very easy home tax software without the high price of a preparer|great software for mac
